ville,code_postal,prix,pays,agence_adresse_telephone,adresse,site,annonce_link,agence_nom,totm2,titre_annonce
,06250,,MOUGINS,,"71 AVENUE DE TOURNAMY ,9 AVENUE DE L'ÉGLISE",residence_immobilier,,"
            AGENCE LABEL PROPERTIES         ",,
CANNES,,Prix : 1 590 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1622889.html,,128 , - annonce appartement à vendre
MOUGINS,,Prix : 1 390 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1341091.html,,180 , - annonce maison à vendre
MAGAGNOSC,,Prix : 2 750 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-magagnosc-1341084.html,,300 , - annonce maison à vendre
MOUGINS,,Prix : 890 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1557675.html,,174 , - annonce maison à vendre
MOUGINS,,Prix : 1 390 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1593203.html,,250 , - annonce maison à vendre
THÉOULE-SUR-MER,,Prix : 1 990 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-theoule-sur-mer-1327623.html,,250 , - annonce maison à vendre
CANNES,,Prix : 1 960 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1640410.html,,140 , - annonce appartement à vendre
MOUGINS,,Prix : 2 490 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1341093.html,,265 , - annonce maison à vendre
MOUGINS,,Prix : 1 680 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1645713.html,,270 , - annonce maison à vendre
CANNES,,Prix : 2 980 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1635433.html,,195 , - annonce appartement à vendre
,,,,04 93 75 30 64,,,,,,
,,,,04 93 75 30 64,,,,,,
,,,,04 93 75 30 64,,,,,,
,,,,04 93 75 30 64,,,,,,
,,,,04 93 75 30 64,,,,,,
,,,,04 93 75 30 64,,,,,,
MOUGINS,,Prix : 3 390 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-mougins-1341081.html,,350 , - annonce maison à vendre
,75016,,PARIS 16EME,,62 RUE SAINT DIDIER,residence_immobilier,,"
            PARIS CAPITAL COLDWELL BANKER        ",,
PARIS  6EME,,Prix : 217 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--6eme-1650689.html,,12 , - annonce appartement à vendre
PARIS  7EME,,Prix : 950 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--7eme-1650465.html,,60 , - annonce appartement à vendre
LA ROQUETTE-SUR-SIAGNE,,Prix : 3 980 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-la-roquette-sur-siagne-1457747.html,,305 , - annonce maison à vendre
ST-RAPHAËL,,Prix : 1 365 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-st-raphael-1650743.html,,230 , - annonce maison à vendre
ST-RAPHAËL,,Prix : 1 487 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-st-raphael-1555466.html,,225 , - annonce maison à vendre
MARSEILLE  3EME,,Prix : 448 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-appartement-marseille--3eme-1640311.html,,100 , - annonce appartement à vendre
VALBONNE,,Prix : 3 074 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-valbonne-1341095.html,,378 , - annonce maison à vendre
,75015,,PARIS 15EME,,50 avenue de la Motte Picquet,residence_immobilier,,"
            Plaza agence Motte picquet        ",,
,06560,,SOPHIA ANTIPOLIS,,"473 Route des Dolines,Villa 14",residence_immobilier,,"
            BLUE SQUARE IMMOBILIER        ",,
,06000,,NICE,,"11, avenue Jean-Médecin",residence_immobilier,,"
            SAVILLS FRENCH RIVIERA - NICE        ",,
,75016,,PARIS 16EME,,22 rue de Lubeck,residence_immobilier,,"
            DAVID MATTON IMMOBILIER        ",,
PUYVERT,,Prix : 615 000,,,,,http://www.residences-immobilier.com/fr/84/annonce-vente-maison-puyvert-1650617.html,,111 , - annonce maison à vendre
CAP D'ANTIBES,,Prix : 875 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-cap-dantibes-1650511.html,,130 , - annonce maison à vendre
NICE,,Prix : 850 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1217195.html,,99 , - annonce appartement à vendre
VALBONNE,,Prix : 950 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-valbonne-1650491.html,,170 , - annonce maison à vendre
,,,,04 93 75 30 64,,,,,,
,06600,,CANNES,,82 Boulevard de La Croisette,residence_immobilier,,"
            AGENCE CAPITOLE INTERNATIONAL        ",,
,75003,,PARIS  3EME,,44 RUE DE BRETAGNE,residence_immobilier,,"
            AGENCE DES ENFANTS ROUGES        ",,
,64200,,BIARRITZ,,2 rue maison suisse,residence_immobilier,,"
            PRESTANT Singular Properties        ",,
,06560,,SOPHIA ANTIPOLIS,,"Villantipolis - villa n°6,473, route des Dolines",residence_immobilier,,"
            WALDORFF LUXURY REAL ESTATE        ",,
,06400,,CANNES,,"45, La Croisette,Résidences du Grand Hôtel",residence_immobilier,,"
            45 CROISETTE IMMOBILIER BY BLACHER        ",,
,06000,,NICE,,"455 promenade des Anglais, Nice 1er A",residence_immobilier,,"
            Espaces Atypiques Nice Côte d'Azur        ",,
,75007,,PARIS  7EME,,42 rue Barbet de Jouy,residence_immobilier,,"
            AGENCE VARENNE (7ème)        ",,
,,,,01 45 05 54 80,,,,,,
,,,,0140650030,,,,,,
,44500,,LA BAULE,,"19, Boulevard Hennecart ",residence_immobilier,,"
            BRETAGNE SUD SOTHEBY'S INTERNATIONAL REALTY        ",,
CANNES,,Prix : 299 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1650851.html,,61 , - annonce appartement à vendre
BAYONNE,,Prix : 1 285 000,,,,,http://www.residences-immobilier.com/fr/64/annonce-vente-maison-bayonne-1651228.html,,245 , - annonce maison à vendre
,75005,,PARIS  5EME,,"38, RUE MONGE",residence_immobilier,,"
            MONGE PATRIMOINE        ",,
ST-CANNAT,,Prix : 420 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-st-cannat-1651244.html,,195 , - annonce maison à vendre
,,,,04 93 75 30 64,,,,,,
,,,,04 93 75 30 64,,,,,,
,,,,04 88 14 57 90,,,,,,
,,,,04 22 32 60 40,,,,,,
,,,,04 94 95 79 55,,,,,,
,06210,,MANDELIEU-LA-NAPOULE,,"467, Avenue de Cannes",residence_immobilier,,"
            AB PARTNERS IMMOBILIER ORPI        ",,
,,,,04 92 00 82 82,,,,,,
,,,,04 93 33 31 85,,,,,,
,,,,+33 (0) 4 90 79 03 82,,,,,,
ST-TROPEZ,,Prix : 1 350 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-appartement-st-tropez-1650510.html,,110 , - annonce appartement à vendre
PORNICHET,,Prix : 927 000,,,,,http://www.residences-immobilier.com/fr/44/annonce-vente-maison-pornichet-1651379.html,,230 , - annonce maison à vendre
,,,,04 93 18 20 04,,,,,,
,,,,06 86 07 33 96,,,,,,
,,,,"0671405458,+33 (0)5 82 80 60 80",,,,,,
,,,,04 88 14 57 90,,,,,,
ANTIBES,,Prix : 836 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-antibes-1650538.html,,120 , - annonce appartement à vendre
PARIS  4EME,,Prix : 377 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--4eme-1650446.html,,28 , - annonce appartement à vendre
NICE,,Prix : 399 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1650847.html,,105 , - annonce appartement à vendre
PARIS 16EME,,Prix : 1 650 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1625785.html,,116 , - annonce appartement à vendre
PARIS  6EME,,Prix : 1 320 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--6eme-1649946.html,,79 , - annonce appartement à vendre
PARIS 16EME,,Prix : 4 990 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1642168.html,,400 , - annonce appartement à vendre
PARIS  7EME,,Prix : 342 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--7eme-1650636.html,,22 , - annonce appartement à vendre
GRASSE,,Prix : 785 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-maison-grasse-1650589.html,,160 , - annonce maison à vendre
PARIS 16EME,,Prix : 21 000 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1519229.html,,1200 , - annonce appartement à vendre
NICE,,Prix : 290 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1650853.html,,33 , - annonce appartement à vendre
CANNES,,Prix : 307 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1650447.html,,58 , - annonce appartement à vendre
PARIS 17EME,,Prix : 3 980 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-maison-paris-17eme-1629833.html,,300 , - annonce maison à vendre
