ville,code_postal,prix,pays,agence_adresse_telephone,adresse,site,annonce_link,agence_nom,totm2,titre_annonce
,75016,,PARIS 16EME,,22 rue de Lubeck,residence_immobilier,,"
            DAVID MATTON IMMOBILIER        ",,
PARIS  6EME,,Prix : 1 320 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--6eme-1649946.html,,79 , - annonce appartement à vendre
MARSEILLE 13EME,,Prix : 315 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-marseille-13eme-1650157.html,,140 , - annonce maison à vendre
CANNES,,Prix : 1 490 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-cannes-1649488.html,,63 , - annonce appartement à vendre
NICE,,Prix : 240 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1649685.html,,29 , - annonce appartement à vendre
PARIS 16EME,,Prix : 1 650 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1625785.html,,116 , - annonce appartement à vendre
PARIS 16EME,,Prix : 3 500 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1600501.html,,235 , - annonce appartement à vendre
PARIS 17EME,,Prix : 3 980 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-maison-paris-17eme-1629833.html,,300 , - annonce maison à vendre
PARIS 16EME,,Prix : 4 990 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1642168.html,,400 , - annonce appartement à vendre
PARIS  6EME,,Prix : 1 699 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris--6eme-1650222.html,,86 , - annonce appartement à vendre
,75014,,PARIS 14EME,,146 Boulevard du Montparnasse,residence_immobilier,,"
            TERRASSES ET JARDINS RIVE GAUCHE        ",,
,13100,,AIX-EN-PROVENCE,,15 Cours Mirabeau,residence_immobilier,,"
            MON OFFICE IMMOBILIER        ",,
PARIS 16EME,,Prix : 21 000 000,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-appartement-paris-16eme-1519229.html,,1200 , - annonce appartement à vendre
,06000,,NICE,,"1, rue Bonaparte",residence_immobilier,,"
            Century 21 LAFAGE TRANSACTIONS - LE PORT        ",,
,06400,,CANNES,,"9, la Croisette,Galerie de l'Hôtel Majestic",residence_immobilier,,"
            MAGREY & SONS        ",,
,75008,,PARIS  8EME,,"95, rue du Faubourg Saint-Honoré",residence_immobilier,,"
            Propriétés Parisiennes Sotheby's International Realty 8e Faubourg Saint-Honoré        ",,
,75005,,PARIS  5EME,,"38, RUE MONGE",residence_immobilier,,"
            MONGE PATRIMOINE        ",,
,84220,,CABRIÈRES D'AVIGNON,,Hameau de Coustellet,residence_immobilier,,"
            UN MAS EN PROVENCE        ",,
,75016,,PARIS 16EME,,138 Avenue Victor Hugo,residence_immobilier,,"
            SOTHEBY'S PARIS OUEST VICTOR HUGO        ",,
,75003,,PARIS  3EME,,97 RUE VIEILLE DU TEMPLE,residence_immobilier,,"
            VILLARET IMMOBILIER        ",,
,06230,,ST-JEAN-CAP-FERRAT,,1 avenue Denis Séméria,residence_immobilier,,"
            ENGEL & VÖLKERS CÔTE D'AZUR Cap Ferrat        ",,
,75003,,PARIS  3EME,,7 RUE CHARLOT,residence_immobilier,,"
            CHRISTINE ARNOUX IMMOBILIER         ",,
,92100,,BOULOGNE BILLANCOURT,,59 AVENUE JEAN BAPTISTE CLEMENT,residence_immobilier,,"
            DANIEL FEAU BOULOGNE        ",,
BOULOGNE BILLANCOURT,,Prix : 2 140 000,,,,,http://www.residences-immobilier.com/fr/92/annonce-vente-appartement-boulogne-billancourt-1649599.html,,172 , - annonce appartement à vendre
CABRIÈRES D'AVIGNON,,Prix : 750 000,,,,,http://www.residences-immobilier.com/fr/84/annonce-vente-maison-cabrieres-davignon-1650242.html,,164 , - annonce maison à vendre
ST-TROPEZ,,Prix : 2 699 000,,,,,http://www.residences-immobilier.com/fr/83/annonce-vente-maison-st-tropez-1650163.html,,840 , - annonce maison à vendre
MAILLANE,,Prix : 600 000,,,,,http://www.residences-immobilier.com/fr/13/annonce-vente-maison-maillane-1650274.html,,225 , - annonce maison à vendre
BARBIZON,,Prix : 1 700 000,,,,,http://www.residences-immobilier.com/fr/77/annonce-vente-maison-barbizon-1496336.html,,830 , - annonce maison à vendre
PARIS  5EME,,Prix : 49 500,,,,,http://www.residences-immobilier.com/fr/75/annonce-vente-bien-paris--5eme-1597491.html,,16 , - annonce bien à vendre
,13210,,ST-RÉMY-DE-PROVENCE,,43 BD VICTOR HUGO,residence_immobilier,,"
            L'AGENCE DE ST REMY        ",,
,06560,,SOPHIA ANTIPOLIS,,"473 Route des Dolines,Villa 14",residence_immobilier,,"
            BLUE SQUARE IMMOBILIER        ",,
,75016,,PARIS 16EME,,1 rue de Sontay,residence_immobilier,,"
            Sixteen Immobilier        ",,
,83380,,LES ISSAMBRES,,"5268 Corniche des Issambres,BP 39",residence_immobilier,,"
            AGENCE LEONIE LELIEVRE        ",,
,83580,,GASSIN,,13 PLACE NEUVE,residence_immobilier,,"
            LES BARRYS        ",,
NICE,,Prix : 594 000,,,,,http://www.residences-immobilier.com/fr/06/annonce-vente-appartement-nice-1347666.html,,86 , - annonce appartement à vendre
,06600,,ANTIBES,,"2721, chemin de Saint-Claude",residence_immobilier,,"
            CARLTON INTERNATIONAL         ",,
,75006,,PARIS  6EME,,21 RUE BONAPARTE,residence_immobilier,,"
            DANIEL FEAU SAINT GERMAIN        ",,
,83310,,GRIMAUD,,RD 559,residence_immobilier,,"
            AGENCE ALPHA        ",,
